"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"178","Sell","4.3225","4.6261","-0.0039","1000.5301"
"179","Sell","4.3236","4.6296","0.0164","1000.5465"
"180","Sell","4.317","4.6234","-0.0406","1000.5059"
"181","Sell","4.3267","4.6281","0.0242","1000.5301"
"182","Sell","4.324","4.6299","0.0199","1000.55"
"183","Sell","4.3236","4.6234","-0.0104","1000.5396"
"184","Sell","4.3219","4.6236","-0.0173","1000.5223"
"185","Sell","4.3256","4.6226","-0.0043","1000.518"
"186","Sell","4.3283","4.6202","-0.0026","1000.5154"
"187","Sell","4.3301","4.5843","-0.1493","1000.3661"
"188","Sell","4.364","4.5793","-0.0161","1000.35"
"189","Sell","4.3708","4.5766","0.0035","1000.3535"
"190","Sell","4.3704","4.5829","0.0293","1000.3828"
"191","Sell","4.3749","4.5651","-0.028","1000.3548"
"192","Sell","4.3818","4.5704","0.0267","1000.3815"
"193","Sell","4.3824","4.571","0.032","1000.4135"
"194","Sell","4.374","4.5866","0.0616","1000.4751"
"195","Sell","4.3544","4.5975","0.0192","1000.4943"
"196","Sell","4.358","4.589","-0.0013","1000.493"
"197","Sell","4.3585","4.5712","-0.0762","1000.4168"
"198","Sell","4.3764","4.5644","-0.0245","1000.3923"
"199","Sell","4.3821","4.5642","9.0E-4","1000.3932"
"200","Sell","4.3718","4.573","-0.0079","1000.3853"
"201","Sell","4.3418","4.6169","0.0456","1000.4309"
"202","Sell","4.3358","4.6253","0.0541","1000.485"
"203","Sell","4.3224","4.616","-0.048","1000.437"
"204","Sell","4.3369","4.6203","0.0377","1000.4747"
